	ethnicity	MX00384	MX00028	MX00049	MX00027	MX00395	MX00398	MX00102	MX00178	MX00020	MX00179	MX00092	MX00402	MX00001	MX00180	MX00087	MX00085	MX00101	MX00030	MX00023
I1_4.txt	ind	7.183406034	8.068327916	6.793116706	6.738087592	7.60586217	7.898325211	6.722153383	6.926370593	7.25168554	7.122641606	7.216154972	7.760615619	6.994724591	7.313012211	7.397877657	7.692856231	7.434375089	7.324704113	7.960942209
I1_5.txt	ind	0	6.634300493	0	6.110133967	0	0	0	6.625585703	6.775781511	6.936767761	0	0	7.178399902	7.098196674	0	6.871252116	0	6.840774782	7.407782392
I1_6.txt	ind	7.527448	7.36844932	6.976039074	6.942995236	7.713280334	7.952726587	6.791502718	7.144193075	7.390434851	7.399020699	0	7.62932108	6.984543245	7.227033802	7.708225866	8.194344426	7.91285879	7.469979879	8.120535879
I1_7.txt	ind	6.989872159	8.370276236	6.772506243	6.820362073	7.578814142	7.569450531	0	6.524521653	7.301475071	6.949951006	6.594130347	7.488568666	7.64728265	7.188632022	6.810080959	7.112199001	0	7.744984041	8.218183834
I1_7_2.txt	ind	6.997685132	7.497538616	6.728221282	6.699958202	7.224152312	7.560591277	6.550580173	6.904496666	7.164810973	7.280179219	7.278430549	7.658149347	7.286862146	7.318807012	7.453039461	7.27111524	7.508104427	7.380641378	7.915251311
I1_8.txt	ind	6.808944196	7.100852379	6.732298124	6.691099801	0	7.678307472	6.343404655	7.044310598	7.170025283	7.453196308	6.921517406	7.057092091	7.335506924	7.619594943	6.98742689	7.366625207	7.511144619	7.295737002	7.895090095
I1_9.txt	ind	7.779370224	7.648818979	6.433745839	6.43014055	8.00241379	7.914182523	6.695481939	7.128282149	6.879444093	7.097569397	7.228731138	6.884511309	6.62344871	7.268392515	7.908625407	8.231726136	7.663367276	7.050539677	7.65340497
I2_1.txt	ind	0	0	0	7.222881134	0	0	0	0	6.659818877	0	6.326863249	0	6.086310347	7.364461932	0	6.838933424	0	0	7.619013939
I2_10.txt	ind	6.651106395	6.659382269	5.883660867	0	6.827919741	6.89030016	7.162498541	6.268306219	7.284029915	6.618553886	6.955933973	0	6.981708276	6.60587389	0	0	6.621002425	7.1329918	0
I2_2.txt	ind	6.837083214	6.703984492	0	6.139000483	7.238316938	0	6.344949621	6.821663639	6.572851629	6.68277863	6.419077355	0	6.360052954	7.227743595	6.63055611	6.842709253	6.909366653	7.622093171	7.796233736
I2_4.txt	ind	6.692641968	7.142866021	6.258546775	6.15742322	6.488970566	6.097475964	6.540965557	6.440440074	6.649980465	6.539438947	6.521015234	6.764530226	7.131487266	7.035098788	6.736312982	6.754554959	6.950552651	7.413049243	7.67184582
I2_5.txt	ind	0	6.944362336	6.34502596	6.33610615	6.694803175	6.751021377	0	6.774076463	6.825263665	7.288207292	0	0	6.958326987	7.47240646	7.141662385	7.533400793	7.264590042	7.08339776	7.648025016
I2_6.txt	ind	0	7.115911053	6.53325792	6.304763169	0	6.773332099	0	0	6.766678697	6.353201624	0	0	7.066504937	6.985445831	6.61142419	6.918836547	6.418994945	7.644794162	7.844901539
I2_7.txt	ind	6.987472487	7.409154159	0	6.527672426	6.770386552	7.315462049	0	6.229972213	6.927737664	6.71903016	0	7.064869662	7.245714001	6.996662379	6.935796766	7.061827123	6.658288493	8.186569836	7.945823478
I2_8.txt	ind	6.748801422	7.501642674	6.593022197	6.291580617	6.945333401	7.103817878	6.540315832	6.351987331	6.866371117	6.849468185	6.842391476	7.17169905	7.481883536	6.728113433	7.10634833	7.438277198	6.642475204	7.792995751	7.919196759
