	ethnicity	MX00384	MX00028	MX00395	MX00398	MX00402
C6_3.txt	cz	9.295608617	0	9.339816701	0	9.786757824
C6_4.txt	cz	9.57975343	8.544731908	0	9.207305408	9.569748377
C6_5.txt	cz	8.699175647	8.576407027	8.983973606	9.086738779	9.398494424
C6_6.txt	cz	9.276592356	8.816466774	9.579879147	0	9.729113878
C6_7.txt	cz	9.224308304	8.820397616	9.207877985	9.143570028	9.322780855
C6_8.txt	cz	9.082449473	0	9.127296747	9.098553681	8.925691833
C6_9.txt	cz	9.119596446	0	9.62972124	9.170779055	8.834859296
I1_1.txt	ind	0	7.688232688	8.380458424	7.652686216	0
I1_10.txt	ind	8.125371595	6.964570033	6.893265951	8.209262823	8.07390876
I1_2.txt	ind	7.27551797	7.514296878	0	8.069002421	0
I1_3.txt	ind	6.730991462	6.866405794	6.144130658	0	0
I1_4.txt	ind	7.183406034	8.068327916	7.60586217	7.898325211	7.760615619
I1_5.txt	ind	0	6.634300493	0	0	0
I1_6.txt	ind	7.527448	7.36844932	7.713280334	7.952726587	7.62932108
I1_7.txt	ind	6.989872159	8.370276236	7.578814142	7.569450531	7.488568666
I1_7_2.txt	ind	6.997685132	7.497538616	7.224152312	7.560591277	7.658149347
I1_8.txt	ind	6.808944196	7.100852379	0	7.678307472	7.057092091
I1_9.txt	ind	7.779370224	7.648818979	8.00241379	7.914182523	6.884511309
I2_1.txt	ind	0	0	0	0	0
I2_10.txt	ind	6.651106395	6.659382269	6.827919741	6.89030016	0
I2_2.txt	ind	6.837083214	6.703984492	7.238316938	0	0
I2_4.txt	ind	6.692641968	7.142866021	6.488970566	6.097475964	6.764530226
I2_5.txt	ind	0	6.944362336	6.694803175	6.751021377	0
I2_6.txt	ind	0	7.115911053	0	6.773332099	0
I2_7.txt	ind	6.987472487	7.409154159	6.770386552	7.315462049	7.064869662
I2_8.txt	ind	6.748801422	7.501642674	6.945333401	7.103817878	7.17169905
I2_9.txt	ind	6.672626636	7.005268264	6.455804884	6.863063158	0
I3_1.txt	ind	6.932329094	7.963119137	0	0	0
I3_10.txt	ind	7.803988446	6.117713984	7.516517975	8.100738044	8.180109582
I3_2.txt	ind	8.189172216	7.824651897	8.108098221	8.060934112	8.358004068
I3_3.txt	ind	7.958951775	7.874329701	8.332216054	8.394177677	8.124085571
I3_4.txt	ind	7.816955925	8.088432364	7.513076458	7.821778511	8.051743263
I3_5.txt	ind	7.422278484	7.893346116	8.191499421	8.155305217	7.65942419
I3_5_2.txt	ind	6.491808927	7.258370327	0	7.61285283	7.147452226
I3_6.txt	ind	6.981034494	0	6.773140079	7.183858348	7.026423104
I3_6_2.txt	ind	7.552383179	7.647729671	7.959834358	8.406186516	8.131820965
I3_7.txt	ind	7.700272054	8.445545378	7.631247156	7.868202356	8.18687604
I3_8.txt	ind	8.215801232	8.229700647	7.462348905	8.362749506	5.500838634
I3_9.txt	ind	8.72461166	6.744334454	7.704510583	8.48543256	6.008260693
I4_1.txt	ind	7.627162172	7.549921045	7.219285237	5.862306732	8.513194555
I4_10.txt	ind	6.716444513	7.309406746	6.902181416	0	7.307640379
I4_2.txt	ind	7.381324539	7.538751462	7.577794356	7.54765455	8.091362796
I4_3.txt	ind	7.101077387	8.198085355	7.102278896	7.441132246	0
I4_3_2.txt	ind	7.101077387	8.198085355	7.102278896	7.441132246	6.895468515
I4_4.txt	ind	7.347778444	8.257318167	7.380762952	6.752552552	7.060663813
I4_5.txt	ind	0	7.296584685	0	0	0
I4_6.txt	ind	0	7.61908501	7.776930189	7.697215956	8.01092714
I4_6_1.txt	ind	7.401573776	8.227837231	7.225390601	7.321785238	7.450916777
I4_8.txt	ind	7.236138177	7.738062396	0	7.585066234	7.457970275
I4_9.txt	ind	7.668327609	8.033036208	7.351545511	7.805361236	0
V10_1.txt	viet	8.6860691	9.004094314	9.001794428	8.034023135	9.415587197
V10_10.txt	viet	8.767902309	9.00756531	8.758532256	8.155015352	8.672085169
V10_2.txt	viet	8.884794871	0	9.172034533	0	9.380122308
V10_3.txt	viet	8.741695602	8.921371477	9.014831692	0	0
V10_4.txt	viet	0	0	8.908553234	7.985288749	8.90458751
V10_5.txt	viet	8.822842682	8.545977066	8.785696783	0	8.473740256
V10_6.txt	viet	8.98451876	8.658199528	9.211246122	8.867985924	9.43086317
V10_7.txt	viet	9.03998578	8.416734942	9.323815815	9.239094129	9.782127169
V10_8.txt	viet	9.060645373	8.451425129	9.145566259	8.934677418	9.273103172
V10_9.txt	viet	8.27938827	8.457621308	8.415598214	8.43787352	9.01417116
V1_1.txt	viet	7.461805816	7.30490769	7.653869095	7.43171389	7.878181367
V1_10.txt	viet	6.489166611	7.24080603	6.728275683	6.632235735	7.215960772
V1_2.txt	viet	6.878180602	6.581084302	0	0	0
V1_3.txt	viet	0	0	0	7.242317068	7.896545793
V1_4.txt	viet	7.476264285	0	0	7.688203386	0
V1_5.txt	viet	0	0	0	0	0
V1_6.txt	viet	0	0	0	0	0
V1_7.txt	viet	0	6.968740554	0	0	0
V1_8.txt	viet	0	7.390807536	6.908137498	7.54064333	6.220521517
V1_9.txt	viet	7.121260199	7.423926723	7.369194068	7.369809285	7.610849604
V2_1.txt	viet	0	6.909691805	7.128938925	6.83581558	6.839453975
V2_10.txt	viet	6.784321458	7.163427388	6.749894549	7.179847998	0
V2_2.txt	viet	7.455959079	0	6.777257349	0	7.395292382
V2_3.txt	viet	7.380483803	0	7.550917087	7.370483556	7.580147029
V2_4.txt	viet	6.69728646	6.981697767	0	7.42906822	7.286746883
V2_5.txt	viet	7.421928326	7.04480496	7.45960934	7.521572893	7.644457783
V2_6.txt	viet	6.925965054	7.157077736	7.5683154	7.731247392	7.776295249
V2_7.txt	viet	7.633475495	7.570404959	7.687218272	7.865618785	7.931157626
V2_8.txt	viet	7.507890965	7.484963461	7.354914978	7.181657144	6.949760268
V2_9.txt	viet	0	7.334292711	0	0	0
V3_1.txt	viet	7.143293846	7.465818563	0	7.062607816	7.233268056
V3_10.txt	viet	7.480521033	7.523003044	7.481946061	7.380390243	7.711869164
V3_2.txt	viet	7.135898116	0	7.337616378	7.730781953	6.86601279
V3_3.txt	viet	7.036383937	7.610559582	6.792379501	6.753371375	5.88270209
V3_4.txt	viet	7.037783628	7.555441334	7.273072328	0	0
V3_5.txt	viet	7.065676272	7.243696287	6.953943757	7.408830018	0
V3_6.txt	viet	7.13583097	7.604813444	6.88987034	7.039798032	7.064053195
